SL,State/UT,"Cyber
Blackmailing
/
Threatening","Cyber
Pornography/
Hosting/
Publishing
Obscene Sexual
Materials","Cyber
Stalking/
Cyber
Bullying of
Women","Defamation/
Morphing and
Indecent
Rep. of
Women",Fake Profile,"Other
Crimes
against
Women","Total Cyber
Crimes
against
Women"
1,Andhra Pradesh,16,89,129,1,2,400,637
2,Arunachal Pradesh,0,1,0,0,0,4,5
3,Assam,10,101,3,0,41,455,610
4,Bihar,1,4,18,0,12,49,84
5,Chhattisgarh,3,200,7,0,0,69,279
6,Goa,1,4,1,0,0,26,32
7,Gujarat,3,43,48,0,7,251,352
8,Haryana,12,71,28,0,7,209,327
9,Himachal Pradesh,0,21,12,0,3,10,46
10,Jharkhand,0,10,2,1,0,93,106
11,Karnataka,1,234,0,0,0,3669,3904
12,Kerala,0,122,45,2,9,203,381
13,Madhya Pradesh,8,96,82,2,1,201,390
14,Maharashtra,11,75,578,3,27,1836,2530
15,Manipur,0,0,5,0,0,8,13
16,Meghalaya,0,5,0,0,4,18,27
17,Mizoram,0,0,0,0,0,0,0
18,Nagaland,0,1,0,0,0,0,1
19,Odisha,0,269,0,273,0,32,574
20,Punjab,3,33,26,0,6,126,194
21,Rajasthan,16,136,79,3,11,253,498
22,Sikkim,0,1,0,0,0,10,11
23,Tamil Nadu,3,82,31,24,22,239,401
24,Telangana,23,14,279,0,3,943,1262
25,Tripura,0,2,0,0,2,0,4
26,Uttar Pradesh,2,450,27,1,4,617,1101
27,Uttarakhand,10,21,17,75,8,30,161
28,West Bengal,0,9,11,0,3,119,142
29,A&N Islands,0,3,1,0,0,8,12
30,Chandigarh,0,2,2,0,0,12,16
31,"D&N Haveli and
Daman & Diu",0,4,0,0,0,1,5
32,Delhi,2,118,24,0,5,101,250
33,Jammu & Kashmir,0,25,2,0,2,10,39
34,Ladakh,0,0,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0,0
36,Puducherry,0,5,0,0,0,10,15
