State,FY 2018-19 (Rs. in Cr), FY 2019-20 (Rs. in Cr), %change(YoY),FY 2020-21 (Rs. in Cr), %change(YoY)_1,FY 2021-22 (Rs. in Cr),% change(YoY), FY 2022-23 (Rs. in Cr), % change(YoY)_2, FY 2023-24 (Rs. in Cr), %change(YoY)_3, FY 2024-25 (tillSept'24) (Rs. in Cr)
Andaman & Nicobar Islands,0.11,0.07,-0.37,0,-0.98,0,-1,0,,0,,0
Andhra Pradesh,0.15,1.3,7.97,0.72,-0.45,0.29,-0.59,3.3,10.22,1.76,-0.47,0.77
Arunachal Pradesh,0.01,0.05,5.66,0.38,7.2,0,-0.99,0,0.07,0,-1,0.01
Assam,0.81,2.39,1.95,1.68,-0.3,1.04,-0.38,0.25,-0.76,0.74,1.95,0.06
Bihar,0.34,0.63,0.85,1.09,0.73,2.08,0.9,1.2,-0.42,0.39,-0.67,0.42
Chandigarh,0.2,0.14,-0.27,0.12,-0.19,0.43,2.69,0.18,-0.57,0.05,-0.73,0.21
Chhattisgarh,0.25,0.3,0.22,0.21,-0.29,0.55,1.57,3.84,6.02,1.5,-0.61,0.02
Dadra and Nagar Haveli and Daman and Diu,,0.01,,0.02,2.71,0.02,-0.27,0,-0.87,0.12,57.25,0.01
Goa,0.36,0.31,-0.15,0.3,-0.04,0.3,0.01,0.1,-0.68,0.04,-0.55,0
Gujarat,0.69,0.47,-0.31,1.27,1.69,3.23,1.55,3.32,0.03,7.73,1.33,1.25
Haryana,16.86,11.66,-0.31,16.24,0.39,10.31,-0.37,13.01,0.26,29.57,1.27,8.81
Himachal Pradesh,0.14,0.39,1.8,0.78,0.98,0.34,-0.56,0.14,-0.61,0.07,-0.46,0.06
Jammu & Kashmir,0.06,0.17,1.99,0.36,1.13,0.14,-0.61,0.22,0.57,0.15,-0.33,0.21
Jharkhand,0.45,0.38,-0.16,0.25,-0.35,0.19,-0.21,0.08,-0.59,1.16,13.55,0.05
Karnataka,2.76,12.94,3.68,6.57,-0.49,11.5,0.75,3.51,-0.69,6.61,0.88,34.8
Kerala,0.75,1.74,1.32,1.66,-0.05,0.93,-0.44,2.62,1.82,30.42,10.62,0.46
Ladakh,,0,,0.06,,0.01,-0.88,0,-1,0,,0
Lakshadweep,,,,,,,,,,,,0
Madhya Pradesh,0.42,1.22,1.91,2.21,0.81,1.72,-0.22,0.95,-0.45,2.57,1.71,0.26
Maharashtra,12.25,13.76,0.12,14.07,0.02,25.08,0.78,13.28,-0.47,42.54,2.2,15.79
Manipur,0.07,0.02,-0.77,0.07,3.33,0,-1,0.01,,0.01,-0.04,0
Meghalaya,0.05,0.13,1.54,0.09,-0.36,0.02,-0.82,0.02,0.3,0.97,47.64,0.14
Mizoram,0.01,0.06,7.2,,-1,0,,0.01,0.25,0,-0.02,0
Nagaland,0.02,0.06,1.56,0.08,0.39,0,-1,0,,0,,0
NCT of Delhi,9.34,8.05,-0.14,6.06,-1,13.93,1.3,6.94,-0.5,5.96,-0.14,1.58
Odisha,0.47,2.15,3.61,0.46,-0.79,4.96,9.83,0.61,-0.88,1,0.64,0.08
Puducherry,0.05,0.02,-0.61,0.01,-0.28,0.01,-0.4,0,-0.95,0.01,23.25,0.14
Punjab,0.55,1.56,1.82,1.96,0.26,2.27,0.16,1.53,-0.33,1.33,-0.13,2.77
Rajasthan,1.12,1.87,0.67,2.14,0.14,3.07,0.44,6.63,1.16,6.32,-0.05,0.38
Sikkim,,0.05,,0.01,-0.82,0.02,0.95,0,-1,0.05,,0.02
Tamil Nadu,21.88,14.36,-0.34,18.14,0.26,16.27,-0.1,5.18,-0.68,10.26,0.98,3.54
Telangana,1.43,0.85,-0.4,2,1.34,7.41,2.71,6.02,-0.19,4.73,-0.21,5.33
Total,92.29,82.51,-0.11,87.13,0.06,115.35,0.32,85.26,-0.26,189.95,1.23,101.53
Tripura,0.01,0.07,7.38,0.1,0.51,0.01,-0.88,0,-0.63,1.23,265.74,3.25
Uttar Pradesh,3.32,3.15,-0.05,3.06,-0.03,6.91,1.26,9.56,0.38,29.23,2.06,18.89
Uttarakhand,0.45,0.24,-0.46,0.75,2.06,0.14,-0.81,0.12,-0.15,0.09,-0.28,0.05
West Bengal,16.92,1.94,-0.89,4.23,1.17,2.2,-0.48,2.63,0.2,3.34,0.27,2.19
