SL,State/UT,"Personal
Revenge",Emotional motives like Anger etc,Fraud,Extortion,Causing Disrepute,Prank,Sexual Exploitation,Political Motives,Terrorist Activities,Inciting Hate against Country,Disrupt Public Service,Sale Purchase illegal drugs,Developing own business,Spreading Piracy,Psycho or Pervert,Steal Information,Abetment to Suicide
1,Andhra Pradesh,107,10,1463,47,1,3,147,12,0,0,28,0,9,4,0,3,2
2,Arunachal Pradesh,0,2,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0
3,Assam,257,64,185,628,33,53,46,15,1,1,3,0,0,0,0,0,0
4,Bihar,112,95,1207,77,15,11,89,1,0,0,0,0,0,0,0,0,0
5,Chhattisgarh,0,2,59,5,54,0,35,0,0,0,0,0,0,0,0,0,0
5,Chhattisgarh,0,2,59,5,54,0,35,0,0,0,0,0,0,0,0,0,0
5,Chhattisgarh,0,2,59,5,54,0,9,0,2,0,0,0,0,0,0,0,0
5,Chhattisgarh,0,2,59,5,54,0,9,0,2,0,0,0,0,0,0,0,0
6,Goa,1,0,65,1,16,0,5,1,0,0,0,0,0,0,0,0,0
7,Gujarat,8,15,795,24,371,8,72,1,1,2,6,0,0,0,0,0,0
8,Haryana,11,3,164,35,15,2,134,2,0,0,0,0,0,0,0,0,1
9,Himachal Pradesh,3,1,28,14,10,0,15,0,0,0,1,0,0,0,0,0,0
10,Jharkhand,1,0,894,21,0,0,19,0,0,0,2,0,0,0,0,0,0
11,Karnataka,32,63,11025,379,27,1,338,9,0,0,0,9,6,3,0,0,0
12,Kerala,71,22,323,25,36,2,218,0,0,0,1,0,1,4,,0,0
13,Madhya Pradesh,4,11,343,11,251,13,102,0,0,0,0,0,1,0,0,0,0
14,Maharashtra,66,38,5515,129,31,0,787,0,0,0,8,0,6,0,0,0,0
15,Manipur,0,0,6,0,0,0,11,1,0,0,0,0,0,0,0,0,0
16,Meghalaya,1,1,34,4,4,0,15,1,1,0,0,0,1,1,0,0,0
17,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Nagaland,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0
19,Odisha,0,71,1832,0,0,0,14,0,0,0,0,0,0,0,0,0,0
20,Punjab,19,9,326,29,21,5,98,2,0,3,0,1,2,7,0,0,0
21,Rajasthan,26,14,621,98,101,2,271,2,0,7,1,0,7,43,0,0,0
22,Sikkim,2,0,15,2,0,0,0,2,0,0,0,0,5,0,0,0,0
23,Tamil Nadu,49,39,1650,31,17,1,189,29,0,8,3,0,2,7,0,0,0
24,Telangana,26,217,10991,447,0,0,152,27,0,0,0,0,947,2,0,134,0
25,Tripura,3,0,12,1,5,0,2,2,0,0,2,0,0,2,0,0,0
26,Uttar Pradesh,37,108,4506,1250,883,58,542,57,0,13,7,1,67,3,0,0,0
27,Uttarakhand,0,0,155,354,2,0,36,0,0,0,8,0,3,0,0,0,0
28,West Bengal,16,7,95,11,3,4,9,1,0,0,0,0,0,0,0,0,1
29,A&N Islands,2,0,6,0,3,0,5,0,0,0,0,0,0,0,0,0,0
30,Chandigarh,0,0,4,0,1,0,9,0,2,0,0,0,0,0,0,0,0
31,"D&N Haveli and
Daman & Diu",1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0
32,Delhi,2,0,278,8,0,8,54,0,0,0,0,0,10,0,0,0,0
33,Jammu & Kashmir,0,0,106,10,2,2,15,0,1,0,0,0,0,13,0,0,0
34,Ladakh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Lakshadweep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Puducherry,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
